순번,기준년,기준월,행정동코드,행정동명,성별코드,성별,요일코드,요일,시간대코드,시간대,유동인구수,시간당 평균 유동인구수,데이터생성일자
59,2021,1,3017051000,복수동,f,여성,5,금요일,5,야간,33864.06,4837.72,20230104
60,2021,1,3017051000,복수동,m,남성,5,금요일,5,야간,37992.36,5427.48,20230104
61,2021,1,3017051000,복수동,f,여성,6,토요일,1,출근,16311.68,8155.84,20230104
62,2021,1,3017051000,복수동,m,남성,6,토요일,1,출근,18240.14,9120.07,20230104
63,2021,1,3017051000,복수동,f,여성,6,토요일,2,주간,124779.9,13864.43,20230104
64,2021,1,3017051000,복수동,m,남성,6,토요일,2,주간,129087.92,14343.1,20230104
65,2021,1,3017051000,복수동,f,여성,6,토요일,3,퇴근,34576.4,17288.2,20230104
66,2021,1,3017051000,복수동,m,남성,6,토요일,3,퇴근,35555.75,17777.88,20230104
67,2021,1,3017051000,복수동,f,여성,6,토요일,4,저녁,69754.89,17438.72,20230104
68,2021,1,3017051000,복수동,m,남성,6,토요일,4,저녁,71189.87,17797.47,20230104
69,2021,1,3017051000,복수동,f,여성,6,토요일,5,야간,35000.58,5000.08,20230104
70,2021,1,3017051000,복수동,m,남성,6,토요일,5,야간,39843.76,5691.97,20230104
71,2021,1,3017052000,도마1동,f,여성,0,일요일,1,출근,13520.27,6760.14,20230104
72,2021,1,3017052000,도마1동,m,남성,0,일요일,1,출근,16242.02,8121.01,20230104
73,2021,1,3017052000,도마1동,f,여성,0,일요일,2,주간,112341.5,12482.39,20230104
74,2021,1,3017052000,도마1동,m,남성,0,일요일,2,주간,125393.5,13932.61,20230104
75,2021,1,3017052000,도마1동,f,여성,0,일요일,3,퇴근,29209.53,14604.77,20230104
76,2021,1,3017052000,도마1동,m,남성,0,일요일,3,퇴근,32803.86,16401.93,20230104
77,2021,1,3017052000,도마1동,f,여성,0,일요일,4,저녁,57579.2,14394.8,20230104
78,2021,1,3017052000,도마1동,m,남성,0,일요일,4,저녁,62269.99,15567.5,20230104
79,2021,1,3017052000,도마1동,f,여성,0,일요일,5,야간,31145.7,4449.39,20230104
80,2021,1,3017052000,도마1동,m,남성,0,일요일,5,야간,37974.13,5424.88,20230104
81,2021,1,3017052000,도마1동,f,여성,1,월요일,1,출근,12463.51,6231.76,20230104
82,2021,1,3017052000,도마1동,m,남성,1,월요일,1,출근,15298.24,7649.12,20230104
83,2021,1,3017052000,도마1동,f,여성,1,월요일,2,주간,104266.39,11585.15,20230104
84,2021,1,3017052000,도마1동,m,남성,1,월요일,2,주간,112723.48,12524.83,20230104
85,2021,1,3017052000,도마1동,f,여성,1,월요일,3,퇴근,25267.71,12633.86,20230104
86,2021,1,3017052000,도마1동,m,남성,1,월요일,3,퇴근,27442.27,13721.14,20230104
87,2021,1,3017052000,도마1동,f,여성,1,월요일,4,저녁,48899.42,12224.86,20230104
88,2021,1,3017052000,도마1동,m,남성,1,월요일,4,저녁,52005.15,13001.29,20230104
89,2021,1,3017052000,도마1동,f,여성,1,월요일,5,야간,22707.22,3243.89,20230104
90,2021,1,3017052000,도마1동,m,남성,1,월요일,5,야간,27830.06,3975.72,20230104
91,2021,1,3017052000,도마1동,f,여성,2,화요일,1,출근,12310.13,6155.07,20230104
