순번,기준년,기준월,행정동코드,행정동명,성별코드,성별,연령대코드,연령대,유동인구수,시간당 평균 유동인구수,데이터생성일자
1,2021,03월,3017066000,둔산3동,f,여성,40,40대,333249.53,77294.65,2022-11-15
2,2021,01월,3017059700,관저2동,f,여성,60,60대,456480.35,99578.67,2022-11-15
3,2021,07월,3017066000,둔산3동,m,남성,50,50대,273025.84,64601.07,2022-11-15
4,2021,11월,3017066000,둔산3동,m,남성,10,10대,159723.68,35297.06,2022-11-15
5,2021,03월,3017055500,탄방동,m,남성,70,70세이상,246765.88,52488.94,2022-11-15
6,2021,06월,3017058200,갈마2동,f,여성,30,30대,407629.73,90221.65,2022-11-15
7,2021,04월,3017060000,기성동,f,여성,10,10대,3167.59,584.62,2022-11-15
8,2021,07월,3017059600,관저1동,m,남성,20,20대,560355.53,123613.06,2022-11-15
9,2021,06월,3017055500,탄방동,m,남성,30,30대,1079416.78,231776.37,2022-11-15
10,2021,08월,3017059700,관저2동,f,여성,50,50대,1023336.8,229479.75,2022-11-15
11,2021,08월,3017058100,갈마1동,f,여성,60,60대,320380.47,71101.92,2022-11-15
12,2021,09월,3017057000,가장동,m,남성,40,40대,196770.95,43892.68,2022-11-15
13,2021,11월,3017053500,정림동,f,여성,40,40대,169035.66,37517.41,2022-11-15
14,2021,09월,3017058600,월평1동,f,여성,60,60대,192639.22,42103.35,2022-11-15
15,2021,05월,3017055000,용문동,m,남성,70,70세이상,99343.02,21549.84,2022-11-15
16,2021,08월,3017053500,정림동,f,여성,50,50대,302162.83,67621.77,2022-11-15
17,2021,01월,3017051000,복수동,f,여성,20,20대,309053.11,67947.02,2022-11-15
18,2021,01월,3017063000,둔산1동,m,남성,20,20대,444028.25,94045.73,2022-11-15
19,2021,01월,3017057000,가장동,f,여성,70,70세이상,113972.91,25109.89,2022-11-15
20,2021,06월,3017065000,만년동,f,여성,70,70세이상,65529.54,13945.1,2022-11-15
21,2021,06월,3017053500,정림동,f,여성,50,50대,287450.94,64794.04,2022-11-15
22,2021,11월,3017063000,둔산1동,f,여성,10,10대,285550.24,67150.98,2022-11-15
23,2021,02월,3017053500,정림동,m,남성,50,50대,196162.57,44201.7,2022-11-15
24,2021,07월,3017055000,용문동,f,여성,0,9세이하,8798.18,2001.86,2022-11-15
25,2021,08월,3017066000,둔산3동,f,여성,20,20대,208556.81,47221.81,2022-11-15
26,2021,04월,3017056000,괴정동,m,남성,70,70세이상,149471.12,33010.87,2022-11-15
27,2021,06월,3017058100,갈마1동,m,남성,60,60대,273403.14,61158.34,2022-11-15
28,2021,05월,3017057000,가장동,m,남성,50,50대,202217.62,45742.08,2022-11-15
29,2021,02월,3017052000,도마1동,m,남성,60,60대,279931.36,59765.93,2022-11-15
30,2021,03월,3017058800,월평3동,f,여성,20,20대,196452.1,44346.83,2022-11-15
31,2021,08월,3017053000,도마2동,m,남성,30,30대,228944.37,50225.53,2022-11-15
32,2021,09월,3017060000,기성동,m,남성,60,60대,41216.65,7216.25,2022-11-15
33,2021,01월,3017055500,탄방동,m,남성,70,70세이상,225854.04,47791.9,2022-11-15
34,2021,03월,3017059600,관저1동,f,여성,10,10대,256484.34,56591.96,2022-11-15
35,2021,10월,3017063000,둔산1동,m,남성,30,30대,425207.8,87917.29,2022-11-15
36,2021,06월,3017065000,만년동,m,남성,10,10대,114775.45,24398.64,2022-11-15
37,2021,02월,3017065000,만년동,f,여성,0,9세이하,13466.17,2746.26,2022-11-15
38,2021,11월,3017058800,월평3동,f,여성,20,20대,173794.2,39873.38,2022-11-15
39,2021,01월,3017053500,정림동,m,남성,50,50대,212601.63,47829.15,2022-11-15
40,2021,07월,3017056000,괴정동,m,남성,30,30대,624623.14,139953.39,2022-11-15
41,2021,07월,3017058100,갈마1동,f,여성,30,30대,335527.5,74886.44,2022-11-15
42,2021,04월,3017052000,도마1동,m,남성,10,10대,131727.76,28620.78,2022-11-15
43,2021,12월,3017058600,월평1동,f,여성,30,30대,235695.96,51956.61,2022-11-15
44,2021,04월,3017058700,월평2동,f,여성,70,70세이상,120332.6,25956.77,2022-11-15
45,2021,02월,3017054000,변동,f,여성,30,30대,181816.61,40432.21,2022-11-15
46,2021,06월,3017053000,도마2동,m,남성,10,10대,152285.11,32845.67,2022-11-15
47,2021,12월,3017058600,월평1동,m,남성,60,60대,247713.12,53872.09,2022-11-15
48,2021,09월,3017057000,가장동,f,여성,60,60대,204233.56,45366.25,2022-11-15
49,2021,10월,3017051000,복수동,f,여성,50,50대,390007.25,88612.98,2022-11-15
50,2021,08월,3017057500,내동,f,여성,50,50대,345186.81,78421.3,2022-11-15
51,2021,03월,3017059700,관저2동,f,여성,10,10대,506676.72,113819.25,2022-11-15
52,2021,03월,3017058100,갈마1동,m,남성,70,70세이상,110608.17,24781.52,2022-11-15
53,2021,09월,3017053500,정림동,f,여성,0,9세이하,14055.76,3019.81,2022-11-15
54,2021,06월,3017053500,정림동,m,남성,70,70세이상,102323.08,22567.97,2022-11-15
55,2021,08월,3017066000,둔산3동,m,남성,40,40대,238636.95,55710.99,2022-11-15
56,2021,02월,3017066000,둔산3동,m,남성,20,20대,199228.66,44471.41,2022-11-15
57,2021,07월,3017059600,관저1동,f,여성,50,50대,633583.46,141011.3,2022-11-15
58,2021,09월,3017065000,만년동,f,여성,70,70세이상,67825.37,14419.29,2022-11-15
59,2021,08월,3017055500,탄방동,f,여성,40,40대,1074905.85,225768.41,2022-11-15
60,2021,02월,3017055000,용문동,m,남성,60,60대,173662.91,37597.22,2022-11-15
61,2021,07월,3017064000,둔산2동,m,남성,70,70세이상,246850.89,50928.5,2022-11-15
62,2021,05월,3017057500,내동,m,남성,70,70세이상,144931.75,32616.71,2022-11-15
63,2021,11월,3017064000,둔산2동,m,남성,70,70세이상,257755.63,52409.68,2022-11-15
64,2021,02월,3017058700,월평2동,f,여성,70,70세이상,106311.97,22819.88,2022-11-15
65,2021,08월,3017057500,내동,m,남성,20,20대,248431.69,55404.52,2022-11-15
66,2021,06월,3017051000,복수동,f,여성,0,9세이하,42244.28,8973.9,2022-11-15
67,2021,05월,3017059000,가수원동,m,남성,60,60대,381437.45,83719.19,2022-11-15
68,2021,04월,3017059600,관저1동,m,남성,60,60대,349260.77,77169.7,2022-11-15
69,2021,03월,3017058100,갈마1동,m,남성,40,40대,324429.89,72380.91,2022-11-15
70,2021,07월,3017065000,만년동,m,남성,0,9세이하,12946.82,2661.4,2022-11-15
71,2021,03월,3017064000,둔산2동,m,남성,0,9세이하,43596.56,9497.26,2022-11-15
72,2021,03월,3017058700,월평2동,m,남성,30,30대,288431.67,64717.66,2022-11-15
73,2021,01월,3017059000,가수원동,f,여성,50,50대,504462.62,109701,2022-11-15
74,2021,06월,3017058700,월평2동,f,여성,70,70세이상,127624.45,27534.55,2022-11-15
75,2021,03월,3017057500,내동,m,남성,60,60대,218006.53,49253.5,2022-11-15
76,2021,06월,3017057000,가장동,m,남성,10,10대,81037.71,18085.66,2022-11-15
77,2021,12월,3017058700,월평2동,m,남성,30,30대,308315.55,68455.96,2022-11-15
78,2021,07월,3017057000,가장동,f,여성,60,60대,203140.65,45147.75,2022-11-15
79,2021,01월,3017057500,내동,m,남성,20,20대,227127.94,50365.31,2022-11-15
80,2021,11월,3017055000,용문동,m,남성,30,30대,299164.08,66218.94,2022-11-15
81,2021,07월,3017065000,만년동,f,여성,60,60대,179442.74,38792.4,2022-11-15
82,2021,03월,3017060000,기성동,f,여성,30,30대,14928.78,2580.51,2022-11-15
83,2021,03월,3017056000,괴정동,m,남성,0,9세이하,29574.93,6487.92,2022-11-15
84,2021,07월,3017055000,용문동,f,여성,70,70세이상,142645.2,30956.12,2022-11-15
85,2021,06월,3017066000,둔산3동,f,여성,0,9세이하,17127.42,3774.61,2022-11-15
86,2021,08월,3017059600,관저1동,f,여성,20,20대,606562.59,133672.84,2022-11-15
87,2021,05월,3017055000,용문동,f,여성,40,40대,206515.94,43758.44,2022-11-15
88,2021,10월,3017059700,관저2동,m,남성,50,50대,876868.82,201813.02,2022-11-15
89,2021,10월,3017058200,갈마2동,m,남성,30,30대,516245.53,116395.38,2022-11-15
90,2021,09월,3017053500,정림동,f,여성,10,10대,72644.7,16184.05,2022-11-15
91,2021,08월,3017053500,정림동,f,여성,60,60대,225211.81,49979.18,2022-11-15
92,2021,10월,3017058200,갈마2동,f,여성,50,50대,365643.53,82068.07,2022-11-15
93,2021,06월,3017055000,용문동,f,여성,10,10대,60188.22,13494.3,2022-11-15
94,2021,11월,3017059000,가수원동,f,여성,50,50대,590481.5,129855.1,2022-11-15
95,2021,10월,3017060000,기성동,f,여성,20,20대,19210.13,3126.89,2022-11-15
96,2021,05월,3017059600,관저1동,m,남성,70,70세이상,150441.18,32530.5,2022-11-15
97,2021,08월,3017058100,갈마1동,m,남성,20,20대,528582.65,118493.85,2022-11-15
98,2021,03월,3017057500,내동,m,남성,20,20대,221956.16,49261.11,2022-11-15
99,2021,09월,3017055000,용문동,m,남성,60,60대,200679.3,43843.66,2022-11-15
100,2021,07월,3017057000,가장동,f,여성,40,40대,212989.46,47068.09,2022-11-15
101,2021,11월,3017058100,갈마1동,m,남성,70,70세이상,126647.45,28058.44,2022-11-15
102,2021,04월,3017058800,월평3동,m,남성,70,70세이상,60160.31,13359.43,2022-11-15
103,2021,04월,3017056000,괴정동,f,여성,10,10대,178210.27,39600.29,2022-11-15
104,2021,04월,3017066000,둔산3동,f,여성,70,70세이상,124424.75,27537.51,2022-11-15
105,2021,05월,3017051000,복수동,f,여성,40,40대,391307.59,88217.75,2022-11-15
106,2021,01월,3017054000,변동,m,남성,50,50대,318869.12,70718.23,2022-11-15
107,2021,03월,3017064000,둔산2동,f,여성,20,20대,1940929.4,407610.31,2022-11-15
108,2021,02월,3017065000,만년동,f,여성,10,10대,82681.98,18218.48,2022-11-15
109,2021,04월,3017059000,가수원동,f,여성,30,30대,426711.84,92960.89,2022-11-15
110,2021,04월,3017057000,가장동,f,여성,10,10대,83815.23,18755.22,2022-11-15
111,2021,10월,3017063000,둔산1동,m,남성,50,50대,539253.28,114152.23,2022-11-15
112,2021,10월,3017055500,탄방동,m,남성,10,10대,382019.78,86122.8,2022-11-15
113,2021,11월,3017054000,변동,f,여성,50,50대,361306.19,80445.77,2022-11-15
114,2021,01월,3017056000,괴정동,m,남성,60,60대,301239.94,65203.98,2022-11-15
115,2021,12월,3017058700,월평2동,f,여성,70,70세이상,141192.17,30280.49,2022-11-15
116,2021,09월,3017058200,갈마2동,f,여성,60,60대,268226.39,59412.02,2022-11-15
117,2021,04월,3017064000,둔산2동,f,여성,60,60대,655424.22,133754.68,2022-11-15
118,2021,09월,3017053000,도마2동,f,여성,30,30대,225220.55,48739.37,2022-11-15
119,2021,04월,3017054000,변동,f,여성,40,40대,258813.64,57945.72,2022-11-15
120,2021,02월,3017064000,둔산2동,m,남성,10,10대,397487.83,88748.44,2022-11-15
121,2021,01월,3017058700,월평2동,m,남성,0,9세이하,11832.59,2512.01,2022-11-15
122,2021,06월,3017053000,도마2동,f,여성,0,9세이하,26771.11,5692.58,2022-11-15
123,2021,03월,3017064000,둔산2동,f,여성,70,70세이상,223561.32,46298.65,2022-11-15
124,2021,08월,3017053000,도마2동,m,남성,60,60대,309059.15,68737.09,2022-11-15
125,2021,12월,3017065000,만년동,f,여성,40,40대,299323.44,64835.1,2022-11-15
126,2021,01월,3017058800,월평3동,f,여성,10,10대,99146.56,22232.04,2022-11-15
127,2021,04월,3017058700,월평2동,m,남성,10,10대,151851.88,34271.69,2022-11-15
128,2021,12월,3017052000,도마1동,m,남성,40,40대,266726.02,58079.57,2022-11-15
129,2021,04월,3017055500,탄방동,f,여성,60,60대,673756.74,140926.62,2022-11-15
130,2021,04월,3017063000,둔산1동,m,남성,70,70세이상,102622.1,20930.21,2022-11-15
131,2021,07월,3017059000,가수원동,f,여성,50,50대,574001.75,126863.18,2022-11-15
132,2021,06월,3017056000,괴정동,m,남성,70,70세이상,151146.61,33098.4,2022-11-15
133,2021,03월,3017056000,괴정동,m,남성,60,60대,312484.06,68234.74,2022-11-15
134,2021,10월,3017052000,도마1동,f,여성,60,60대,320645.76,68083.46,2022-11-15
135,2021,01월,3017058100,갈마1동,m,남성,30,30대,429157.64,96960.38,2022-11-15
136,2021,03월,3017058200,갈마2동,f,여성,50,50대,334203.78,73948.24,2022-11-15
137,2021,04월,3017053000,도마2동,m,남성,70,70세이상,167274.37,36663.53,2022-11-15
138,2021,01월,3017053000,도마2동,m,남성,50,50대,312117.78,68996.06,2022-11-15
139,2021,12월,3017057000,가장동,m,남성,0,9세이하,14918.06,3234.25,2022-11-15
140,2021,10월,3017053000,도마2동,f,여성,20,20대,382257.65,80921.69,2022-11-15
141,2021,06월,3017059600,관저1동,m,남성,40,40대,496190.02,113089.22,2022-11-15
142,2021,05월,3017052000,도마1동,f,여성,30,30대,199731.49,43957.86,2022-11-15
143,2021,07월,3017064000,둔산2동,f,여성,30,30대,1294417.21,263177.97,2022-11-15
144,2021,02월,3017066000,둔산3동,m,남성,50,50대,238389.18,56184.4,2022-11-15
145,2021,11월,3017058700,월평2동,f,여성,0,9세이하,17246.63,3566.37,2022-11-15
146,2021,12월,3017057500,내동,m,남성,50,50대,306859.08,70191.64,2022-11-15
147,2021,07월,3017066000,둔산3동,m,남성,40,40대,239684.88,56160.76,2022-11-15
148,2021,03월,3017058700,월평2동,m,남성,50,50대,337247.83,76775.86,2022-11-15
149,2021,03월,3017065000,만년동,f,여성,50,50대,354238.43,76752.62,2022-11-15
150,2021,03월,3017064000,둔산2동,f,여성,60,60대,664513.28,134730.05,2022-11-15
151,2021,07월,3017053500,정림동,m,남성,60,60대,232410.89,52173.08,2022-11-15
152,2021,06월,3017059000,가수원동,f,여성,60,60대,368972.86,81535.44,2022-11-15
153,2021,06월,3017054000,변동,f,여성,70,70세이상,145398.85,31939.51,2022-11-15
154,2021,11월,3017065000,만년동,m,남성,20,20대,357374.46,77887.38,2022-11-15
155,2021,11월,3017056000,괴정동,f,여성,70,70세이상,166551.26,35926.48,2022-11-15
156,2021,02월,3017055500,탄방동,m,남성,0,9세이하,32630.98,6918.7,2022-11-15
157,2021,09월,3017058100,갈마1동,f,여성,30,30대,349894.8,77826.94,2022-11-15
158,2021,12월,3017058200,갈마2동,f,여성,70,70세이상,118997.04,25939.25,2022-11-15
159,2021,12월,3017058200,갈마2동,m,남성,20,20대,674777.14,151051.99,2022-11-15
160,2021,04월,3017057500,내동,f,여성,30,30대,222505.6,50279.87,2022-11-15
161,2021,12월,3017060000,기성동,f,여성,0,9세이하,696.97,125.35,2022-11-15
162,2021,01월,3017058100,갈마1동,f,여성,10,10대,121229.82,26443.32,2022-11-15
163,2021,07월,3017058200,갈마2동,m,남성,40,40대,355962.53,79087.03,2022-11-15
164,2021,03월,3017057500,내동,m,남성,70,70세이상,135597.5,30511.87,2022-11-15
165,2021,04월,3017065000,만년동,m,남성,70,70세이상,64210.27,13615.94,2022-11-15
166,2021,03월,3017063000,둔산1동,f,여성,30,30대,417303.82,83547.29,2022-11-15
167,2021,01월,3017059000,가수원동,m,남성,10,10대,188525.26,41296.19,2022-11-15
168,2021,06월,3017060000,기성동,f,여성,30,30대,22719.95,3732.27,2022-11-15
169,2021,09월,3017055500,탄방동,f,여성,10,10대,374942.86,85048.49,2022-11-15
170,2021,09월,3017063000,둔산1동,f,여성,40,40대,562734.76,118453.38,2022-11-15
171,2021,01월,3017051000,복수동,f,여성,60,60대,227415.99,50522.91,2022-11-15
172,2021,01월,3017065000,만년동,f,여성,40,40대,259018.33,55822.09,2022-11-15
173,2021,05월,3017055000,용문동,f,여성,30,30대,244094.06,53466.78,2022-11-15
174,2021,06월,3017052000,도마1동,f,여성,50,50대,358471.63,76427.92,2022-11-15
175,2021,04월,3017064000,둔산2동,m,남성,60,60대,703133.41,147194.68,2022-11-15
176,2021,05월,3017055500,탄방동,m,남성,0,9세이하,42837.45,9270.81,2022-11-15
177,2021,01월,3017063000,둔산1동,f,여성,20,20대,537410.65,111044.77,2022-11-15
178,2021,01월,3017058200,갈마2동,m,남성,10,10대,104302.24,23060.62,2022-11-15
179,2021,09월,3017053000,도마2동,f,여성,70,70세이상,194846.53,42577.2,2022-11-15
180,2021,01월,3017059000,가수원동,m,남성,30,30대,419712.05,91884.74,2022-11-15
181,2021,03월,3017053000,도마2동,f,여성,40,40대,260119.21,56342.08,2022-11-15
182,2021,10월,3017066000,둔산3동,f,여성,40,40대,341507.69,79492.42,2022-11-15
183,2021,08월,3017064000,둔산2동,m,남성,60,60대,754779.28,158766.8,2022-11-15
184,2021,06월,3017057500,내동,f,여성,40,40대,308387.45,70026.48,2022-11-15
185,2021,06월,3017056000,괴정동,f,여성,30,30대,501375.51,110511.75,2022-11-15
186,2021,07월,3017059600,관저1동,m,남성,0,9세이하,50391,11073.46,2022-11-15
187,2021,07월,3017058100,갈마1동,m,남성,70,70세이상,120325.26,26713.31,2022-11-15
188,2021,06월,3017058100,갈마1동,m,남성,10,10대,144597.25,32249.76,2022-11-15
189,2021,05월,3017052000,도마1동,m,남성,20,20대,462220.71,101847.93,2022-11-15
190,2021,05월,3017052000,도마1동,f,여성,60,60대,301967.92,64263.51,2022-11-15
191,2021,03월,3017051000,복수동,m,남성,20,20대,362036.78,76743.76,2022-11-15
192,2021,08월,3017059700,관저2동,m,남성,60,60대,554895.88,123946.54,2022-11-15
193,2021,12월,3017060000,기성동,m,남성,40,40대,28861,5335.82,2022-11-15
194,2021,10월,3017055000,용문동,f,여성,20,20대,354758.05,78667.2,2022-11-15
195,2021,07월,3017053500,정림동,m,남성,0,9세이하,16709.95,3596.76,2022-11-15
196,2021,09월,3017054000,변동,f,여성,50,50대,363188.37,80892.79,2022-11-15
197,2021,04월,3017054000,변동,m,남성,10,10대,107338.91,23876.37,2022-11-15
198,2021,10월,3017057500,내동,m,남성,10,10대,138420.72,31219.43,2022-11-15
199,2021,06월,3017054000,변동,f,여성,0,9세이하,19504.78,4061.37,2022-11-15
200,2021,05월,3017053000,도마2동,m,남성,10,10대,158019.16,34601.6,2022-11-15
201,2021,06월,3017064000,둔산2동,m,남성,20,20대,1571161.79,334879.69,2022-11-15
202,2021,12월,3017051000,복수동,m,남성,10,10대,312348.09,65718.95,2022-11-15
203,2021,05월,3017051000,복수동,f,여성,20,20대,345552.59,74416.73,2022-11-15
204,2021,02월,3017056000,괴정동,m,남성,10,10대,122066.44,26930.75,2022-11-15
205,2021,05월,3017057500,내동,f,여성,30,30대,232086.72,52265.48,2022-11-15
206,2021,04월,3017055500,탄방동,f,여성,40,40대,1090087.66,228934.95,2022-11-15
207,2021,11월,3017058200,갈마2동,m,남성,40,40대,334927.3,74786.99,2022-11-15
208,2021,12월,3017056000,괴정동,m,남성,60,60대,344190.9,75122.86,2022-11-15
209,2021,02월,3017060000,기성동,m,남성,70,70세이상,11479.25,2001.98,2022-11-15
210,2021,02월,3017058100,갈마1동,f,여성,60,60대,264528.07,58580.82,2022-11-15
211,2021,07월,3017053500,정림동,f,여성,20,20대,167998.08,37181.24,2022-11-15
212,2021,01월,3017057500,내동,f,여성,20,20대,249187.79,56165.6,2022-11-15
213,2021,08월,3017064000,둔산2동,m,남성,70,70세이상,237854.4,49222.2,2022-11-15
214,2021,06월,3017065000,만년동,m,남성,0,9세이하,12725.57,2662.04,2022-11-15
215,2021,04월,3017056000,괴정동,m,남성,40,40대,514477.88,113839.38,2022-11-15
216,2021,07월,3017052000,도마1동,m,남성,40,40대,271830.9,59431.01,2022-11-15
217,2021,04월,3017065000,만년동,f,여성,0,9세이하,18125.84,3788.62,2022-11-15
218,2021,11월,3017066000,둔산3동,f,여성,10,10대,152971.62,33544.92,2022-11-15
219,2021,02월,3017058600,월평1동,m,남성,60,60대,193168.15,41516.2,2022-11-15
220,2021,10월,3017058100,갈마1동,f,여성,20,20대,504357.16,114584.22,2022-11-15
221,2021,05월,3017065000,만년동,f,여성,20,20대,363221.14,77815.25,2022-11-15
222,2021,09월,3017058100,갈마1동,m,남성,0,9세이하,22088.66,4745.34,2022-11-15
223,2021,08월,3017054000,변동,m,남성,50,50대,337437.84,75313.71,2022-11-15
224,2021,09월,3017057000,가장동,f,여성,20,20대,182063.49,40196.16,2022-11-15
225,2021,05월,3017059000,가수원동,m,남성,70,70세이상,176420.68,38496.56,2022-11-15
226,2021,06월,3017066000,둔산3동,m,남성,70,70세이상,111022.45,25092.6,2022-11-15
227,2021,11월,3017058800,월평3동,m,남성,0,9세이하,12846.09,2785.62,2022-11-15
228,2021,01월,3017055500,탄방동,m,남성,30,30대,1079134.9,230290.42,2022-11-15
229,2021,12월,3017064000,둔산2동,m,남성,0,9세이하,42678,9259.74,2022-11-15
230,2021,09월,3017064000,둔산2동,m,남성,10,10대,356266.65,81540.61,2022-11-15
231,2021,05월,3017063000,둔산1동,f,여성,30,30대,400658.82,80472.36,2022-11-15
232,2021,08월,3017058700,월평2동,f,여성,10,10대,121752.21,27377.32,2022-11-15
233,2021,08월,3017057000,가장동,f,여성,50,50대,222592.45,50076.92,2022-11-15
234,2021,07월,3017059700,관저2동,m,남성,60,60대,551998.25,123109.95,2022-11-15
235,2021,10월,3017058800,월평3동,f,여성,20,20대,185326.54,42265.65,2022-11-15
236,2021,07월,3017058800,월평3동,m,남성,30,30대,176583.85,41008.59,2022-11-15
237,2021,12월,3017058200,갈마2동,m,남성,30,30대,514915.47,115976.91,2022-11-15
238,2021,07월,3017053500,정림동,m,남성,40,40대,170197.24,38305.4,2022-11-15
239,2021,05월,3017058800,월평3동,f,여성,50,50대,285593.94,65378.49,2022-11-15
240,2021,12월,3017066000,둔산3동,f,여성,40,40대,331952.18,77504.34,2022-11-15
241,2021,09월,3017053000,도마2동,m,남성,40,40대,274005.99,59883.98,2022-11-15
242,2021,06월,3017066000,둔산3동,m,남성,0,9세이하,18102.54,3919,2022-11-15
243,2021,11월,3017058100,갈마1동,f,여성,20,20대,490244.92,111913.73,2022-11-15
244,2021,11월,3017057500,내동,f,여성,30,30대,228699.6,51681.28,2022-11-15
245,2021,05월,3017059700,관저2동,f,여성,60,60대,529090.47,117304.58,2022-11-15
246,2021,02월,3017060000,기성동,f,여성,50,50대,24757.3,4196.48,2022-11-15
247,2021,10월,3017052000,도마1동,f,여성,0,9세이하,14499.87,3221.85,2022-11-15
248,2021,08월,3017064000,둔산2동,f,여성,50,50대,1327699.04,271338.39,2022-11-15
249,2021,01월,3017053000,도마2동,m,남성,0,9세이하,14451.46,3042.77,2022-11-15
250,2021,08월,3017066000,둔산3동,f,여성,0,9세이하,16738.08,3750.87,2022-11-15
251,2021,11월,3017058700,월평2동,m,남성,60,60대,282446.47,63276.8,2022-11-15
252,2021,05월,3017058800,월평3동,f,여성,60,60대,177130.86,39840.8,2022-11-15
253,2021,06월,3017051000,복수동,f,여성,60,60대,252040.31,56925.46,2022-11-15
254,2021,08월,3017054000,변동,m,남성,30,30대,234154.73,52917.05,2022-11-15
255,2021,05월,3017057000,가장동,f,여성,30,30대,167862.27,37164.05,2022-11-15
256,2021,03월,3017056000,괴정동,m,남성,30,30대,632357.34,140587.79,2022-11-15
257,2021,11월,3017053000,도마2동,m,남성,70,70세이상,188204.8,41033.4,2022-11-15
258,2021,03월,3017063000,둔산1동,f,여성,20,20대,558770.76,116635.72,2022-11-15
259,2021,04월,3017058700,월평2동,m,남성,20,20대,361784.26,80206.54,2022-11-15
260,2021,09월,3017052000,도마1동,m,남성,50,50대,322722.1,70730.86,2022-11-15
261,2021,11월,3017053000,도마2동,m,남성,60,60대,304226.27,67681.05,2022-11-15
262,2021,08월,3017059600,관저1동,f,여성,40,40대,649147.69,144440.09,2022-11-15
263,2021,08월,3017055500,탄방동,f,여성,60,60대,717554.46,150470.01,2022-11-15
264,2021,11월,3017058600,월평1동,m,남성,0,9세이하,8071.31,1840.38,2022-11-15
265,2021,11월,3017059700,관저2동,m,남성,60,60대,547854.86,122369.34,2022-11-15
266,2021,05월,3017058100,갈마1동,f,여성,10,10대,155619.86,33386.55,2022-11-15
267,2021,07월,3017052000,도마1동,f,여성,10,10대,97262.94,21232.97,2022-11-15
268,2021,02월,3017059000,가수원동,f,여성,30,30대,378838.55,81794.74,2022-11-15
269,2021,03월,3017058800,월평3동,m,남성,50,50대,206374.52,48237.39,2022-11-15
270,2021,08월,3017058800,월평3동,m,남성,40,40대,168213.87,39069,2022-11-15
271,2021,05월,3017058200,갈마2동,f,여성,60,60대,258638.4,57247.4,2022-11-15
272,2021,04월,3017060000,기성동,m,남성,20,20대,18375.84,3263.32,2022-11-15
273,2021,02월,3017059700,관저2동,m,남성,40,40대,820848.25,188429.17,2022-11-15
274,2021,02월,3017059600,관저1동,f,여성,10,10대,200623.56,44257.49,2022-11-15
275,2021,09월,3017058800,월평3동,m,남성,0,9세이하,13403.97,2906.09,2022-11-15
276,2021,04월,3017063000,둔산1동,m,남성,10,10대,270369.63,64006.89,2022-11-15
277,2021,01월,3017059600,관저1동,f,여성,60,60대,317163.17,67806.76,2022-11-15
278,2021,03월,3017058200,갈마2동,m,남성,70,70세이상,86222.68,18945.7,2022-11-15
279,2021,01월,3017053500,정림동,m,남성,40,40대,158550.71,35437.84,2022-11-15
280,2021,05월,3017058700,월평2동,f,여성,60,60대,280432.29,60454.38,2022-11-15
281,2021,10월,3017059600,관저1동,f,여성,0,9세이하,64227.65,13989.08,2022-11-15
282,2021,05월,3017058800,월평3동,m,남성,70,70세이상,64842.77,14407.65,2022-11-15
283,2021,09월,3017065000,만년동,m,남성,70,70세이상,66929.14,14288.61,2022-11-15
284,2021,12월,3017052000,도마1동,f,여성,20,20대,364804.34,81465.67,2022-11-15
285,2021,02월,3017057500,내동,f,여성,50,50대,292500.45,66063.11,2022-11-15
286,2021,03월,3017063000,둔산1동,m,남성,70,70세이상,101545.71,20666.65,2022-11-15
287,2021,01월,3017057000,가장동,f,여성,50,50대,202949.8,45065.95,2022-11-15
288,2021,09월,3017063000,둔산1동,f,여성,20,20대,526661.43,109492.34,2022-11-15
289,2021,07월,3017055500,탄방동,f,여성,30,30대,1128514.85,236772.02,2022-11-15
290,2021,12월,3017053500,정림동,m,남성,50,50대,231466.23,52348.91,2022-11-15
291,2021,08월,3017064000,둔산2동,m,남성,30,30대,1433650.75,295806.31,2022-11-15
292,2021,03월,3017053500,정림동,m,남성,40,40대,166376.11,37089.17,2022-11-15
293,2021,05월,3017057000,가장동,m,남성,30,30대,167051.16,36832.86,2022-11-15
294,2021,06월,3017058600,월평1동,m,남성,30,30대,370937.54,81146.02,2022-11-15
295,2021,06월,3017058700,월평2동,f,여성,20,20대,323363.83,71311.58,2022-11-15
296,2021,09월,3017059000,가수원동,f,여성,50,50대,591321.36,130263,2022-11-15
297,2021,02월,3017056000,괴정동,f,여성,30,30대,425772.81,93616.41,2022-11-15
298,2021,01월,3017051000,복수동,f,여성,0,9세이하,30312.6,6444.51,2022-11-15
299,2021,12월,3017058200,갈마2동,f,여성,50,50대,378148.99,83980.25,2022-11-15
300,2021,11월,3017064000,둔산2동,m,남성,50,50대,1443066.17,301273.09,2022-11-15
301,2021,05월,3017060000,기성동,f,여성,70,70세이상,12716.06,2278.38,2022-11-15
302,2021,03월,3017060000,기성동,m,남성,20,20대,16114.58,2958,2022-11-15
303,2021,03월,3017065000,만년동,m,남성,70,70세이상,63121.96,13510.25,2022-11-15
304,2021,08월,3017051000,복수동,f,여성,40,40대,387160.37,87606.54,2022-11-15
305,2021,07월,3017055000,용문동,m,남성,30,30대,320950.55,71306.11,2022-11-15
306,2021,07월,3017059000,가수원동,f,여성,40,40대,470089.01,102879.82,2022-11-15
307,2021,03월,3017052000,도마1동,m,남성,60,60대,314184.04,67673.54,2022-11-15
