순번,기준년,기준월,행정동코드,행정동명,성별코드,성별,연령대코드,연령대,유동인구수,시간당 평균 유동인구수,데이터생성일자
3896,2021,10월,3017052000,도마1동,f,여성,10,10대,118879.41,25981.5,2022-11-15
3897,2021,06월,3017058100,갈마1동,m,남성,50,50대,336226.98,76099.45,2022-11-15
3898,2021,12월,3017055000,용문동,f,여성,50,50대,274306.18,59116.32,2022-11-15
3899,2021,09월,3017058100,갈마1동,f,여성,0,9세이하,25204.97,5417.6,2022-11-15
3900,2021,05월,3017059600,관저1동,f,여성,30,30대,594136.3,131587.58,2022-11-15
3901,2021,10월,3017051000,복수동,f,여성,60,60대,261275.19,59307.44,2022-11-15
3902,2021,12월,3017058200,갈마2동,f,여성,20,20대,578550.86,130930.61,2022-11-15
3903,2021,02월,3017058800,월평3동,m,남성,40,40대,152253.71,35214,2022-11-15
3904,2021,02월,3017054000,변동,f,여성,40,40대,231637.16,51452,2022-11-15
3905,2021,04월,3017060000,기성동,m,남성,70,70세이상,17380.55,2987.79,2022-11-15
3906,2021,11월,3017058800,월평3동,f,여성,0,9세이하,16679.43,3603.05,2022-11-15
3907,2021,09월,3017060000,기성동,m,남성,70,70세이상,17580.68,3043.45,2022-11-15
3908,2021,06월,3017058600,월평1동,m,남성,60,60대,224791.93,49729.14,2022-11-15
3909,2021,05월,3017053500,정림동,m,남성,50,50대,229146.56,51877.38,2022-11-15
3910,2021,06월,3017058600,월평1동,f,여성,0,9세이하,10556.77,2342.98,2022-11-15
3911,2021,03월,3017063000,둔산1동,f,여성,70,70세이상,81986.57,16747.42,2022-11-15
3912,2021,09월,3017058600,월평1동,m,남성,0,9세이하,9535.23,2121.17,2022-11-15
3913,2021,09월,3017052000,도마1동,m,남성,10,10대,132398.96,28948.76,2022-11-15
3914,2021,09월,3017056000,괴정동,f,여성,0,9세이하,26844.53,5840.68,2022-11-15
3915,2021,10월,3017052000,도마1동,m,남성,70,70세이상,177250.01,38096.78,2022-11-15
3916,2021,09월,3017065000,만년동,m,남성,40,40대,308580.21,66660.56,2022-11-15
3917,2021,01월,3017058200,갈마2동,f,여성,40,40대,275054.22,60479.17,2022-11-15
3918,2021,08월,3017052000,도마1동,m,남성,70,70세이상,163805.74,35366.17,2022-11-15
3919,2021,02월,3017064000,둔산2동,f,여성,60,60대,565306.89,114810.04,2022-11-15
3920,2021,03월,3017060000,기성동,f,여성,10,10대,2906.16,551.05,2022-11-15
3921,2021,02월,3017056000,괴정동,f,여성,0,9세이하,20724.72,4512.21,2022-11-15
3922,2021,02월,3017059600,관저1동,f,여성,30,30대,504606.18,110423.89,2022-11-15
3923,2021,03월,3017057500,내동,m,남성,10,10대,126245.43,28677.71,2022-11-15
3924,2021,06월,3017055500,탄방동,m,남성,50,50대,953887.46,210746.5,2022-11-15
3925,2021,05월,3017065000,만년동,f,여성,0,9세이하,18846.03,3916.15,2022-11-15
3926,2021,02월,3017059600,관저1동,f,여성,60,60대,294815.52,63176.81,2022-11-15
3927,2021,12월,3017054000,변동,m,남성,70,70세이상,172818.55,38072.29,2022-11-15
