사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021020400100543,2021년 2월 4일 20시,목요일,대전광역시 서구 갈마동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,68세,상해없음,승용,여,34세,경상
2021020400100591,2021년 2월 4일 21시,목요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,22세,기타불명,보행자,남,21세,경상
2021020400100628,2021년 2월 4일 23시,목요일,대전광역시 서구 관저동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,63세,상해없음,보행자,남,74세,중상
2021020500100048,2021년 2월 5일 07시,금요일,대전광역시 서구 도마동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,56세,상해없음,승용,여,38세,경상
2021020500100155,2021년 2월 5일 11시,금요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,46세,상해없음,자전거,여,49세,중상
2021020500100240,2021년 2월 5일 13시,금요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,45세,상해없음,보행자,남,24세,경상
2021020500100412,2021년 2월 5일 17시,금요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,53세,상해없음,보행자,남,16세,중상
2021020500100526,2021년 2월 5일 19시,금요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,이륜,남,18세,중상
2021020600100152,2021년 2월 6일 12시,토요일,대전광역시 서구 탄방동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,화물,남,32세,경상
2021020600100235,2021년 2월 6일 14시,토요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,43세,상해없음,보행자,남,58세,경상
2021020600100294,2021년 2월 6일 16시,토요일,대전광역시 서구 괴정동,경상사고,0,0,1,0,차대차 - 기타,불법유턴,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,이륜,남,30세,경상
2021020600100505,2021년 2월 6일 22시,토요일,대전광역시 서구 가수원동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,29세,상해없음,보행자,남,45세,경상
2021020600100506,2021년 2월 6일 22시,토요일,대전광역시 서구 내동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,22세,경상
2021020700100206,2021년 2월 7일 15시,일요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,43세,상해없음,이륜,남,41세,경상
2021020700100207,2021년 2월 7일 15시,일요일,대전광역시 서구 만년동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,18세,상해없음,자전거,여,42세,경상
2021020700100292,2021년 2월 7일 18시,일요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,23세,상해없음,이륜,남,22세,경상
2021020700100332,2021년 2월 7일 19시,일요일,대전광역시 서구 탄방동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,49세,상해없음,이륜,남,51세,경상
2021020700100358,2021년 2월 7일 20시,일요일,대전광역시 서구 갈마동,부상신고사고,0,0,0,1,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,이륜,남,43세,부상신고,,,,
2021020700100398,2021년 2월 7일 22시,일요일,대전광역시 서구 도안동,경상사고,0,0,5,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,22세,상해없음,승용,여,46세,경상
2021020700100399,2021년 2월 7일 22시,일요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,53세,상해없음,승용,남,39세,경상
2021020800100004,2021년 2월 8일 00시,월요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,73세,상해없음,보행자,여,62세,중상
2021020800100097,2021년 2월 8일 08시,월요일,대전광역시 서구 도안동,경상사고,0,0,4,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,경상,승용,남,64세,경상
2021020800100245,2021년 2월 8일 12시,월요일,대전광역시 서구 괴정동,경상사고,0,0,2,0,차대차 - 후진중충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,41세,경상,승용,여,33세,경상
2021020800100246,2021년 2월 8일 12시,월요일,대전광역시 서구 도안동,중상사고,0,1,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,화물,남,66세,중상
2021020800100248,2021년 2월 8일 12시,월요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,보행자,여,22세,경상
2021020800100293,2021년 2월 8일 13시,월요일,대전광역시 서구 도마동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,여,35세,경상
2021020800100407,2021년 2월 8일 16시,월요일,대전광역시 서구 탄방동,경상사고,0,0,2,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,67세,기타불명,승용,남,33세,경상
2021020800100454,2021년 2월 8일 17시,월요일,대전광역시 서구 도안동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,28세,상해없음,승용,남,33세,경상
2021020800100503,2021년 2월 8일 18시,월요일,대전광역시 서구 월평동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,25세,상해없음,승용,남,63세,경상
2021020900100009,2021년 2월 9일 01시,화요일,대전광역시 서구 용문동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,63세,상해없음,승용,남,27세,경상
2021020900100062,2021년 2월 9일 07시,화요일,대전광역시 서구 정림동,경상사고,0,0,2,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,교차로 - 교차로안,승용,남,24세,상해없음,승용,여,49세,경상
2021020900100123,2021년 2월 9일 09시,화요일,대전광역시 서구 도마동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,72세,상해없음,승용,남,54세,경상
2021020900100208,2021년 2월 9일 11시,화요일,대전광역시 서구 월평동,경상사고,0,0,1,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,여,60세,경상
2021020900100242,2021년 2월 9일 12시,화요일,대전광역시 서구 관저동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,35세,상해없음,승용,여,34세,경상
2021020900100243,2021년 2월 9일 12시,화요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,55세,상해없음,승용,여,46세,경상
2021020900100337,2021년 2월 9일 14시,화요일,대전광역시 서구 가장동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,55세,상해없음
2021020900100338,2021년 2월 9일 14시,화요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,55세,상해없음,,,,
2021020900100427,2021년 2월 9일 16시,화요일,대전광역시 서구 변동,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,53세,상해없음,,,,
2021020900100724,2021년 2월 9일 22시,화요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,개인형이동수단(PM),여,16세,경상
2021021000100107,2021년 2월 10일 08시,수요일,대전광역시 서구 관저동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,60세,상해없음,보행자,여,79세,경상
2021021000100244,2021년 2월 10일 12시,수요일,대전광역시 서구 괴정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,승용,여,56세,상해없음,승용,여,27세,경상
2021021000100331,2021년 2월 10일 14시,수요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,60세,상해없음,승용,남,41세,경상
2021021000100417,2021년 2월 10일 16시,수요일,대전광역시 서구 둔산동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,66세,상해없음,승용,남,26세,경상
2021021000100655,2021년 2월 10일 20시,수요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,개인형이동수단(PM),여,20세,경상
2021021000100705,2021년 2월 10일 21시,수요일,대전광역시 서구 도마동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,보행자,남,53세,경상
2021021100100024,2021년 2월 11일 01시,목요일,대전광역시 서구 월평동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,보행자,남,35세,중상
2021021100100039,2021년 2월 11일 05시,목요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,41세,상해없음,승용,남,64세,경상
2021021100100122,2021년 2월 11일 12시,목요일,대전광역시 서구 가수원동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,62세,상해없음,,,,
2021021100100148,2021년 2월 11일 13시,목요일,대전광역시 서구 괴정동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,60세,상해없음,이륜,남,44세,경상
2021021100100149,2021년 2월 11일 13시,목요일,대전광역시 서구 용문동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,66세,상해없음,이륜,남,27세,경상
2021021100100150,2021년 2월 11일 13시,목요일,대전광역시 서구 월평동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,50세,상해없음,이륜,남,32세,경상
