사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021030300100222,2021년 3월 3일 12시,수요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,36세,상해없음,이륜,남,22세,경상
2021030300100315,2021년 3월 3일 15시,수요일,충청남도 천안시 동남구 신부동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,36세,상해없음,승용,남,63세,경상
2021030300100345,2021년 3월 3일 16시,수요일,충청남도 천안시 서북구 두정동,중상사고,0,1,0,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,27세,상해없음,원동기,남,39세,중상
2021030300100459,2021년 3월 3일 20시,수요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,58세,경상,승용,여,41세,상해없음
2021030300100460,2021년 3월 3일 20시,수요일,충청남도 천안시 동남구 신방동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,29세,경상
2021030300100483,2021년 3월 3일 21시,수요일,충청남도 천안시 서북구 백석동,경상사고,0,0,3,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,43세,경상,승용,남,27세,경상
2021030400100037,2021년 3월 4일 06시,목요일,충청남도 천안시 동남구 청당동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,기타 - 기타,승용,여,51세,상해없음,보행자,여,39세,경상
2021030400100088,2021년 3월 4일 08시,목요일,충청남도 천안시 동남구 대흥동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,29세,상해없음,보행자,남,69세,중상
2021030400100089,2021년 3월 4일 08시,목요일,충청남도 천안시 동남구 신부동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,53세,상해없음,승용,남,60세,상해없음
2021030400100119,2021년 3월 4일 09시,목요일,충청남도 천안시 동남구 신방동,경상사고,0,0,3,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,19세,경상,승용,여,48세,경상
2021030400100183,2021년 3월 4일 12시,목요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,남,33세,경상
2021030400100215,2021년 3월 4일 13시,목요일,충청남도 천안시 서북구 두정동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,31세,상해없음,승용,여,29세,경상
2021030400100216,2021년 3월 4일 13시,목요일,충청남도 천안시 서북구 두정동,경상사고,0,0,2,0,차대차 - 기타,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,남,22세,경상,승용,남,62세,경상
2021030400100393,2021년 3월 4일 19시,목요일,충청남도 천안시 서북구 성환읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,65세,상해없음,보행자,남,29세,경상
2021030400100459,2021년 3월 4일 21시,목요일,충청남도 천안시 서북구 두정동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,이륜,남,18세,중상
2021030400100494,2021년 3월 4일 22시,목요일,충청남도 천안시 서북구 성정동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,남,24세,기타불명,승용,남,31세,경상
2021030500100005,2021년 3월 5일 00시,금요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대차 - 측면충돌,불법유턴,포장 - 건조,맑음,단일로 - 기타,승용,여,52세,경상,승용,남,37세,상해없음
2021030500100050,2021년 3월 5일 06시,금요일,충청남도 천안시 동남구 신부동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,73세,상해없음,승용,여,26세,경상
2021030500100069,2021년 3월 5일 07시,금요일,충청남도 천안시 서북구 두정동,중상사고,0,1,0,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,승용,여,54세,중상
2021030500100322,2021년 3월 5일 15시,금요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,경상,승용,남,49세,경상
