사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021101000100081,2021년 10월 10일 09시,일요일,세종특별자치시 아름동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,61세,상해없음,자전거,여,31세,중상
2021101000100464,2021년 10월 10일 20시,일요일,세종특별자치시 부강면,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,남,60세,중상
2021101100100283,2021년 10월 11일 15시,월요일,세종특별자치시 나성동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,63세,상해없음,승용,남,35세,경상
2021101300100231,2021년 10월 13일 12시,수요일,세종특별자치시 조치원읍,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,승합,남,54세,상해없음,이륜,남,38세,부상신고
2021101300100592,2021년 10월 13일 21시,수요일,세종특별자치시 연기면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,27세,상해없음,승합,남,52세,경상
2021101300100615,2021년 10월 13일 22시,수요일,세종특별자치시 종촌동,경상사고,0,0,2,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,교차로 - 교차로안,승용,남,58세,상해없음,승용,남,39세,경상
2021101400100530,2021년 10월 14일 18시,목요일,세종특별자치시 장군면,사망사고,1,0,0,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,이륜,남,34세,사망,,,,
2021101500100434,2021년 10월 15일 17시,금요일,세종특별자치시 나성동,경상사고,0,0,2,0,차대차 - 기타,차로위반,포장 - 젖음/습기,비,단일로 - 기타,승용,여,46세,상해없음,승용,남,37세,경상
2021101500100502,2021년 10월 15일 18시,금요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,비,교차로 - 교차로횡단보도내,승용,남,69세,상해없음,보행자,여,65세,중상
2021101600100321,2021년 10월 16일 15시,토요일,세종특별자치시 조치원읍,부상신고사고,0,0,0,1,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,30세,부상신고,승용,남,57세,상해없음
2021101600100550,2021년 10월 16일 23시,토요일,세종특별자치시 나성동,경상사고,0,0,2,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,여,30세,상해없음,승용,남,29세,경상
2021101700100257,2021년 10월 17일 16시,일요일,세종특별자치시 종촌동,중상사고,0,1,0,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,63세,상해없음,이륜,남,55세,중상
2021101700100371,2021년 10월 17일 19시,일요일,세종특별자치시 산울동,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,48세,상해없음,화물,남,71세,경상
2021101700100409,2021년 10월 17일 20시,일요일,세종특별자치시 종촌동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,25세,상해없음,보행자,여,47세,중상
